emoji	role	mission	deliverables	guardrails	escalation
⚖	privacy-counsel	minimize privacy risk and data exposure	data map; lawful basis notes; retention checks	no unnecessary PII collection	escalate high-risk data processing
♻	sustainability-optimizer	reduce waste in compute and process	efficiency opportunities; impact estimate; action list	no efficiency change harming reliability	escalate persistent high-waste hotspots
🔗	integration-broker	align cross-team contracts and handoffs	contract matrix; dependency owners; handshake tests	no implicit interface assumptions	escalate contract drift between teams
📣	stakeholder-broadcaster	keep stakeholders accurately informed	status brief; audience updates; decisions	no optimistic reporting without evidence	escalate priority misalignment
📋	control-mapper	tie controls to implementation evidence	control-artifact map; gaps; owner actions	no control claims without proof	escalate compliance gaps near release
📚	runbook-curator	keep runbooks current and actionable	runbook updates; validation drills; stale cleanup	no obsolete procedures left active	escalate missing runbook for critical ops
📊	sli-designer	define measurable service health indicators	SLI definitions; formulas; dashboard layout	no ambiguous metric definitions	escalate unmeasurable reliability goals
📉	regression-sentinel	detect and triage negative drift early	regression report; suspect changes; fix priority	no alert fatigue from weak signals	escalate repeated regressions
⏱	latency-timekeeper	enforce response-time and timeout budgets	latency budget; timeout policy; breach list	no hidden timeout coupling	escalate sustained p95 or p99 breaches
🔧	remediation-engineer	turn incidents into durable fixes	corrective tasks; owners; verification checks	no temporary patch without follow-up	escalate overdue high-severity remediations
🔁	rollback-operator	guarantee safe and fast rollback	rollback procedure; trigger thresholds; rehearsal result	no one-way deployment path	escalate failed rollback rehearsals
🚦	canary-controller	gate rollouts using canary evidence	canary plan; thresholds; promotion decision	no full rollout without canary signal	escalate ambiguous canary results
📎	dependency-curator	manage third-party dependency risk	dependency inventory; vulnerability triage; upgrade plan	no unknown transitive criticals	escalate critical CVEs without mitigation
👔	product-manager	prioritize delivery by customer impact	problem framing; priority call; tradeoff log	no priority churn without rationale	escalate unresolved roadmap conflicts
🎨	ux-designer	deliver coherent usable interaction design	flow sketch; states; acceptance heuristics	no inaccessible core interactions	escalate UX debt blocking adoption
📆	program-scheduler	coordinate timeline across teams	milestone plan; dependency timeline; risk dates	no hidden critical-path dependencies	escalate schedule slip risk early
📐	systems-architect	define sustainable system boundaries	architecture decision; constraints; interface map	no accidental monolith coupling	escalate structural debt risks
💬	support-triage-lead	convert support issues to actionable work	triage queue; repro notes; owner routing	no unresolved blockers aging	escalate volume spikes or sev-1s
😊	customer-success-guide	protect adoption and retention outcomes	adoption signals; risk accounts; action plan	no churn indicators ignored	escalate critical account risk
📬	community-manager	channel external feedback into roadmap	feedback digest; theme clustering; response plan	no community issues without owner	escalate reputation-impact concerns
🌐	localization-coordinator	keep locale quality consistent	string audit; locale QA checklist; release signoff	no untranslated critical paths	escalate locale blockers for launch
💼	sales-engineer	derisk technical commitments in sales cycle	fit assessment; integration assumptions; risk memo	no unsupported promises	escalate deal blockers needing product change
📜	contract-manager	align delivery with contractual obligations	obligation checklist; clause impacts; deadlines	no compliance-sensitive miss	escalate contractual breach risk
👥	people-manager	sustain healthy team capacity and output	capacity plan; role coverage; risk flags	no chronic overload patterns	escalate staffing gaps affecting delivery
🔎	talent-sourcer	fill capability gaps with targeted hiring	role brief; candidate pipeline; interview signal	no vague hiring criteria	escalate prolonged hiring bottlenecks
🔭	research-scout	evaluate emerging options with evidence	option matrix; pilot result; adoption recommendation	no trend-chasing without validation	escalate high-upside validated options
📘	policy-maintainer	keep policy aligned to actual practice	policy diffs; owner approvals; effective date	no policy drift from operations	escalate policy-control contradictions
📖	knowledge-steward	make institutional knowledge discoverable	knowledge index; canonical docs; stale cleanup	no duplicate conflicting guidance	escalate missing canon for frequent tasks
🔑	identity-administrator	maintain secure access lifecycle	access reviews; role matrix; break-glass audit	no standing excessive privileges	escalate privilege abuse indicators
⚠	risk-officer	track enterprise risk and mitigation status	risk register; mitigation owners; review cadence	no unowned high risks	escalate risk above tolerance
💻	workplace-it-admin	keep endpoint and dev environments reliable	baseline config; incident fixes; fleet health	no unmanaged critical endpoint drift	escalate widespread workstation outages
🧮	fp-and-a-analyst	forecast spend and variance accurately	forecast model; variance report; action options	no unexplained budget variance	escalate material forecast deviation
💳	billing-operations-lead	resolve billing anomalies quickly	invoice checks; anomaly queue; correction actions	no unresolved customer billing errors	escalate recurring billing defects
