15,rephrase-empathetic,,"⚡️","Rewrite in empathetic tone",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Rewrite the text in triple below in your own words. Rephrase the text in empathetic tone.

""""""
{input}
""""""

Do not return anything other than the rephrased text. Do not wrap responses in quotes.",1,0,,,0,0,,,
16,rephrase-authoritative,,"⚡️","Rewrite in authoritative tone",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Rewrite the text in triple below in your own words. Rephrase the text in authoritative tone.

""""""
{input}
""""""

Do not return anything other than the rephrased text. Do not wrap responses in quotes.",1,0,,,0,0,,,
17,rephrase-inspiring,,"⚡️","Rewrite in inspiring tone",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Rewrite the text in triple below in your own words. Rephrase the text in inspiring tone.

""""""
{input}
""""""

Do not return anything other than the rephrased text. Do not wrap responses in quotes.",1,0,,,0,0,,,
18,translate-english,,"🇺🇸","Translate to English",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Translate the text in triple below to English.

""""""
{input}
""""""

Do not return anything other than the translated text. Do not wrap responses in quotes.",1,0,,,0,0,,,
19,translate-vietnamese,,"🇻🇳","Translate to Vietnamese",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Translate the text in triple below to Vietnamese.

""""""
{input}
""""""

Do not return anything other than the translated text. Do not wrap responses in quotes.",1,0,,,0,0,,,
20,translate-french,,"🇫🇷","Translate to French",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Translate the text in triple below to French.

""""""
{input}
""""""

Do not return anything other than the translated text. Do not wrap responses in quotes.",1,0,,,0,0,,,
21,translate-chinese,,"🇨🇳","Translate to Chinese",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Translate the text in triple below to Chinese.

""""""
{input}
""""""

Do not return anything other than the translated text. Do not wrap responses in quotes.",1,0,,,0,0,,,
22,translate-hindi,,"🇮🇳","Translate to Hindi",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Translate the text in triple below to Hindi.

""""""
{input}
""""""

Do not return anything other than the translated text. Do not wrap responses in quotes.",1,0,,,0,0,,,
23,translate-spanish,,"🇪🇸","Translate to Spanish",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Translate the text in triple below to Spanish.

""""""
{input}
""""""

Do not return anything other than the translated text. Do not wrap responses in quotes.",1,0,,,0,0,,,
24,translate-russian,,"🇷🇺","Translate to Russian",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Translate the text in triple below to Russian.

""""""
{input}
""""""

Do not return anything other than the translated text. Do not wrap responses in quotes.",1,0,,,0,0,,,
25,translate-dutch,,"🇳🇱","Translate to Dutch",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Translate the text in triple below to Dutch.

""""""
{input}
""""""

Do not return anything other than the translated text. Do not wrap responses in quotes.",1,0,,,0,0,,,
26,translate-thai,,"🇹🇭","Translate to Thai",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Translate the text in triple below to Thai.

""""""
{input}
""""""

Do not return anything other than the translated text. Do not wrap responses in quotes.",1,0,,,0,0,,,
27,disagree,,"⚡️","Write a disagreement",insert_below,creativity,gpt-3.5-turbo,0.7,,"The following text in triple quotes below has already been written:

""""""
{input}
""""""

Write a response that disagrees with the main point in a respectful way. Include specific reasons for your disagreement. Do not wrap responses in quotes.",1,0,,,0,0,,,
28,copy-editor,,"⚡️","Edit like a copy editor",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Act as a copy editor. Go through the text in triple quotes below. Edit it for spelling mistakes, grammar issues, punctuation, and generally for readability and flow.

""""""
{input}
""""""

Return only the edited text. Do not wrap your response in quotes.",1,0,,,0,0,,,
29,generate-titles,,"⚡️","Suggest a few titles options",insert_below,accuracy,gpt-3.5-turbo,0.7,,"The blog post below has already been written:

""""""BLOG POST: {input}""""""

Generate a markdown list (using dashes) of five appropriate headlines for the blog post. Do not return anything other than the headlines. Do not wrap responses in quotes.",1,0,,,0,0,,,
30,generate-tweets,,"⚡️","Suggest a few tweets based on my writing",insert_below,accuracy,gpt-3.5-turbo,0.7,,"The blog post below has already been written:

""""""BLOG POST: {input}""""""

Generate a markdown list (using dashes) of five tweets based off the blog post:",1,0,,,0,0,,,
31,generate-overview,,"⚡️","Generate an overview for an article",insert_below,accuracy,gpt-3.5-turbo,0.5,,"The article is below in the triple quotes:
""""""
{input}
""""""

Provide a overview of the article. Use the following format:
""""""
Summary:

< one to two line summary >

Key takeaways:
1. < first key takeaway >
2. < second key takeaway >
3. < third key takeaway >

Counter arguments:
1. < first main counter argument >
2. < second main counter argument >
""""""

Do not return anything other than the overview. Do not wrap responses in quotes.",1,0,,,0,0,,,
32,generate-counter-argument,,"⚡️","Generate a counter argument",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Give the counter argument to the text below:
""""""
{input}
""""""

Do not return anything other than the counter-argument. Do not wrap responses in quotes.",1,0,,,0,0,,,
33,generate-email,,"⚡️","Generate an email",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Write a professional and articulate email for the subject below:
""""""
Subject: {input}
""""""

Do not return anything other than the email. Do not wrap responses in quotes.",1,0,,,0,0,,,
34,action-items,,"⚡️","List action items",insert_below,accuracy,gpt-3.5-turbo,0.5,,"My note is below in triple quotes:
""""""
{input}
""""""

Write a todo list of action items from my notes using the following format:

- [ ] <first action item>
- [ ] <second action item>
- [ ] <third action item>
- [ ] <fourth action item>

Do not return anything other than the todo list. Do not wrap responses in quotes.",1,0,,,0,0,,,
35,blog-post,,"⚡️","Write a blog post",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Write a blog post using the outline in triple quotes below. Use plain and simple language. Do not return anything other than the blog post. Do not wrap responses in quotes.

""""""
{input}
""""""
",1,0,,,0,0,,,
36,format-paragraphs,,"⚡️","Format paragraphs",insert_below,speed,gpt-3.5-turbo,0.0,,"Format the text in triple quotes below into paragraphs. Do not return anything other than the formatted text. Do not wrap responses in quotes.

""""""
{input}
""""""",1,0,,,0,0,,,
37,analogies,,"⚡️","Write analogies",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Write three different analogies for the text in quotes below. Use plain and simple language. Do not return anything other than the analogies. Do not wrap responses in quotes.

""""""
{input}
""""""",1,0,,,0,0,,,
38,753A6F94-E635-45D3-BA08-F5377A933A93,,"🧑‍💻","Complete this code",replace_selection,speed,gpt-4-turbo,0.1,,"Finish the code below. Strictly answer with the new code, do not explain.

```
{input}
```",1,0,,,0,0,,,
39,$$SYSTEM_COMMAND$$,,"⚡️","Instant Command",new_window,accuracy,gpt-3.5-turbo,0.7,,"Use the below as the context then answer my question. My question is: {user_prompt}

Context:
###
{input}
###",1,0,,,1,0,,,
